You have 1320 points.

      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   00:12:53      2     99          -      -      -
 24   00:09:58     71     30   00:38:45     82     19
 23   00:09:05     55     46   00:13:19     24     77
 22   22:45:08   3619      0          -      -      -
 21   00:21:44    206      0       >24h   3042      0
 20   23:53:43   2815      0       >24h   2793      0
 19   00:04:17    150      0       >24h   4672      0
 18          -      -      -          -      -      -
 17   13:52:34   4736      0          -      -      -
 16   00:16:29    263      0   01:10:12    104      0
 15   00:25:48     91     10   00:31:17     56     45
 14   00:27:55    104      0   00:32:31     59     42
 13   00:03:34    115      0   00:19:26     73     28
 12   00:11:19     96      5   01:14:30    628      0
 11   00:05:47     10     91   00:11:21     25     76
 10   00:29:31    444      0   01:10:51    353      0
  9   00:10:29     51     50   00:10:51     48     53
  8   00:04:28     88     13   00:19:22    490      0
  7   00:03:46      2     99   00:16:34      9     92
  6   00:03:40     19     82   00:09:01     35     66
  5   00:13:07     60     41   00:16:24     32     69
  4   00:02:54     76     25   00:07:32    164      0
  3   00:07:44     48     53   00:11:54     59     42
  2   00:06:19     94      7   00:08:51     41     60
  1   17:42:17  25509      0   17:47:39  22882      0
